# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
1.061600000000000E+09;-4.249859002793264E-01;-6.171283684309256E-01;
1.063000000000000E+09;-4.283251321241065E-01;-6.093081127663854E-01;
1.064400000000000E+09;-4.317552178327699E-01;-6.023135251085782E-01;
1.065800000000000E+09;-4.356399785642023E-01;-5.956523089524198E-01;
1.067200000000000E+09;-4.396911764366143E-01;-5.891253592846425E-01;
1.068600000000000E+09;-4.447307180903747E-01;-5.823229412162957E-01;
1.070000000000000E+09;-4.503315577780678E-01;-5.752965251525911E-01;
1.071400000000000E+09;-4.553503717509772E-01;-5.678592627475906E-01;
1.072800000000000E+09;-4.610520519077951E-01;-5.606625917129419E-01;
1.074200000000000E+09;-4.667147147856073E-01;-5.532171638923962E-01;
1.075600000000000E+09;-4.727673158469042E-01;-5.456687548020979E-01;
1.077000000000000E+09;-4.796099144110647E-01;-5.382556680713805E-01;
1.078400000000000E+09;-4.876356022339101E-01;-5.309802154617076E-01;
1.079800000000000E+09;-4.967506253920418E-01;-5.217728434966706E-01;
1.081200000000000E+09;-5.069587122603102E-01;-5.113932680704245E-01;
1.082600000000000E+09;-5.173800201966081E-01;-4.996673300344339E-01;
1.084000000000000E+09;-5.294211335993507E-01;-4.866219689413712E-01;
1.085400000000000E+09;-5.444509679987936E-01;-4.689821375602409E-01;
1.086800000000000E+09;-5.584227591609052E-01;-4.421511221536500E-01;
1.088200000000000E+09;-5.594603932157585E-01;-4.054803712462651E-01;
1.089600000000000E+09;-5.446499026566718E-01;-3.843733057405150E-01;
1.091000000000000E+09;-5.454160911041130E-01;-3.698581228101182E-01;
1.092400000000000E+09;-5.410054354431525E-01;-3.453846607322154E-01;
1.093800000000000E+09;-5.306853883897725E-01;-3.301823853741682E-01;
1.095200000000000E+09;-5.323520428793018E-01;-3.197769007405358E-01;
1.096600000000000E+09;-5.432587917449134E-01;-2.950709453720445E-01;
1.098000000000000E+09;-5.452634517262877E-01;-2.508185979841283E-01;
1.099400000000000E+09;-5.229457560557319E-01;-1.927911485273864E-01;
1.100800000000000E+09;-4.563296093142977E-01;-1.467566519011364E-01;
1.102200000000000E+09;-3.746632224423034E-01;-1.636952044265738E-01;
1.103600000000000E+09;-3.520199301444467E-01;-2.145932200332763E-01;
1.105000000000000E+09;-3.587299435593133E-01;-2.228593986849699E-01;
1.106400000000000E+09;-3.355365742782388E-01;-2.212029779163804E-01;
1.107800000000000E+09;-3.147943064171541E-01;-2.445751410829749E-01;
1.109200000000000E+09;-3.166154292105902E-01;-2.678357287496440E-01;
1.110600000000000E+09;-3.231584431114226E-01;-2.724012141023752E-01;
1.112000000000000E+09;-3.133485945414289E-01;-2.706774527568148E-01;
1.113400000000000E+09;-2.961980505999047E-01;-2.898442048377253E-01;
1.114800000000000E+09;-3.019525472033357E-01;-3.190906189539358E-01;
1.116200000000000E+09;-3.180117702770773E-01;-3.371280683020168E-01;
1.117600000000000E+09;-3.425441975789575E-01;-3.514654617009883E-01;
1.119000000000000E+09;-3.758203483211028E-01;-3.479773857319666E-01;
1.120400000000000E+09;-4.023453080795759E-01;-3.250037662279903E-01;
1.121800000000000E+09;-4.084248088109391E-01;-2.870280796616964E-01;
1.123200000000000E+09;-3.790644866548599E-01;-2.626666852580024E-01;
