# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
1.079800000000000E+09;-5.285192927201851E-01;-6.291635432671101E-01;
1.081200000000000E+09;-5.237855256130375E-01;-6.802763924115729E-01;
1.082600000000000E+09;-5.652063552447241E-01;-7.041820119010933E-01;
1.084000000000000E+09;-6.036332742119397E-01;-7.019001842599386E-01;
1.085400000000000E+09;-6.339585745394405E-01;-6.911215842221283E-01;
1.086800000000000E+09;-6.598568246531867E-01;-6.778805321917520E-01;
1.088200000000000E+09;-6.836780783538784E-01;-6.614648602454020E-01;
1.089600000000000E+09;-7.038793181497376E-01;-6.427255258803984E-01;
1.091000000000000E+09;-7.215782241195794E-01;-6.238083456006823E-01;
1.092400000000000E+09;-7.372227286696234E-01;-6.042396221408144E-01;
1.093800000000000E+09;-7.512432695181384E-01;-5.839585447571890E-01;
1.095200000000000E+09;-7.640038084070062E-01;-5.643677744006055E-01;
1.096600000000000E+09;-7.766330175151744E-01;-5.446557506681768E-01;
1.098000000000000E+09;-7.892799533125456E-01;-5.230356563094588E-01;
1.099400000000000E+09;-8.013162681254091E-01;-4.981369693396799E-01;
1.100800000000000E+09;-8.091596722308487E-01;-4.694722594126026E-01;
1.102200000000000E+09;-8.108659486321940E-01;-4.392567134910787E-01;
1.103600000000000E+09;-8.047444638193288E-01;-4.102506479937260E-01;
1.105000000000000E+09;-7.914932497554964E-01;-3.845745767775248E-01;
1.106400000000000E+09;-7.654807355282600E-01;-3.670205101825877E-01;
1.107800000000000E+09;-7.323574809953877E-01;-3.785067620414450E-01;
1.109200000000000E+09;-7.339590974171095E-01;-4.196191070665760E-01;
1.110600000000000E+09;-7.742168196977041E-01;-4.367908358560743E-01;
1.112000000000000E+09;-8.115217428071010E-01;-4.239732707299113E-01;
1.113400000000000E+09;-8.364177206832022E-01;-4.022891324443884E-01;
1.114800000000000E+09;-8.522282954984807E-01;-3.801811760870242E-01;
1.116200000000000E+09;-8.667888715964202E-01;-3.615369991148904E-01;
1.117600000000000E+09;-8.829123541856587E-01;-3.412628288058225E-01;
1.119000000000000E+09;-8.981018033713356E-01;-3.165754097201085E-01;
1.120400000000000E+09;-9.093777323114659E-01;-2.892839493257207E-01;
1.121800000000000E+09;-9.162281425492470E-01;-2.621493156167117E-01;
1.123200000000000E+09;-9.189677004193845E-01;-2.362790514341155E-01;
1.124600000000000E+09;-9.193067608895164E-01;-2.158215888023316E-01;
1.126000000000000E+09;-9.246352164470188E-01;-1.993379316581965E-01;
1.127400000000000E+09;-9.340472266232643E-01;-1.793753147844238E-01;
1.128800000000000E+09;-9.429780858388632E-01;-1.557220876125603E-01;
1.130200000000000E+09;-9.497156073864530E-01;-1.300386078923768E-01;
1.131600000000000E+09;-9.545995141018457E-01;-1.035727716909382E-01;
1.133000000000000E+09;-9.579255997678399E-01;-7.694206657839078E-02;
1.134400000000000E+09;-9.602290798300587E-01;-5.028427286804508E-02;
1.135800000000000E+09;-9.609539817832521E-01;-2.307418389996716E-02;
1.137200000000000E+09;-9.607111799671190E-01;4.330037632864447E-03;
1.138600000000000E+09;-9.590841831671070E-01;3.050615972758128E-02;
1.140000000000000E+09;-9.570987267443313E-01;5.652288954519172E-02;
1.141400000000000E+09;-9.549579150786214E-01;8.277609931678620E-02;
1.142800000000000E+09;-9.524189410916007E-01;1.101561697679347E-01;
1.144200000000000E+09;-9.488941392888660E-01;1.377572036455052E-01;
