# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
1.581100000000000E+08;9.956041579728993E-01;-9.711410440440224E-02;
1.596000000000000E+08;9.944131478929245E-01;-9.690979527960193E-02;
1.610900000000000E+08;9.950591319599346E-01;-9.849160512485765E-02;
1.625800000000000E+08;9.941411106221398E-01;-9.939272449251177E-02;
1.640700000000000E+08;9.941440221384376E-01;-1.006601963804487E-01;
1.655600000000000E+08;9.950377709700100E-01;-1.020767571498693E-01;
1.670500000000000E+08;9.946210601913497E-01;-1.022507432974298E-01;
1.685400000000000E+08;9.948097475438940E-01;-1.045267596129166E-01;
1.700300000000000E+08;9.948022922952070E-01;-1.048198839557877E-01;
1.715200000000000E+08;9.935408673135587E-01;-1.058008670942559E-01;
1.730100000000000E+08;9.934488252796722E-01;-1.058572774450840E-01;
1.745000000000000E+08;9.948330991513689E-01;-1.075461750702057E-01;
1.759900000000000E+08;9.934685682377987E-01;-1.067422820232933E-01;
1.774800000000000E+08;9.933281384818695E-01;-1.102395090608320E-01;
1.789700000000000E+08;9.942657783766307E-01;-1.099163707512377E-01;
1.804600000000000E+08;9.932041098936547E-01;-1.113089409756084E-01;
1.819500000000000E+08;9.921991567391429E-01;-1.117069433004473E-01;
1.834400000000000E+08;9.943752892945380E-01;-1.137597111387378E-01;
1.849300000000000E+08;9.932548258946455E-01;-1.145546551036874E-01;
1.864200000000000E+08;9.932125944272063E-01;-1.147485483452384E-01;
1.879100000000000E+08;9.929797947148294E-01;-1.166503496590097E-01;
1.894000000000000E+08;9.918310236214950E-01;-1.181635223546825E-01;
1.908900000000000E+08;9.925096558782628E-01;-1.177841810624420E-01;
1.923800000000000E+08;9.932323648867577E-01;-1.185226845087739E-01;
1.938700000000000E+08;9.931316388789972E-01;-1.213264426413160E-01;
1.953600000000000E+08;9.917131581496702E-01;-1.216072432176929E-01;
1.968500000000000E+08;9.921574972933823E-01;-1.224992918199479E-01;
1.983400000000000E+08;9.927561093566667E-01;-1.215586191102079E-01;
1.998300000000000E+08;9.923191473414336E-01;-1.213155016642119E-01;
2.013200000000000E+08;9.920095123696947E-01;-1.241902409753585E-01;
2.028100000000000E+08;9.919550265405958E-01;-1.237863421512741E-01;
2.043000000000000E+08;9.918448474545257E-01;-1.255619466946340E-01;
2.057900000000000E+08;9.916414532540750E-01;-1.270034023324385E-01;
2.072800000000000E+08;9.913866210053708E-01;-1.280521296089200E-01;
2.087700000000000E+08;9.921304724380653E-01;-1.286187994614495E-01;
2.102600000000000E+08;9.916637668414059E-01;-1.296989839876911E-01;
2.117500000000000E+08;9.914826345217093E-01;-1.317352910686861E-01;
2.132400000000000E+08;9.913510841584865E-01;-1.318708966642022E-01;
2.147300000000000E+08;9.909332143998504E-01;-1.336479141356934E-01;
2.162200000000000E+08;9.913582171582993E-01;-1.339217425092058E-01;
2.177100000000000E+08;9.896883278818279E-01;-1.345262443474261E-01;
2.192000000000000E+08;9.901118132377799E-01;-1.361962906084176E-01;
2.206900000000000E+08;9.912558423222869E-01;-1.371382234856895E-01;
2.221800000000000E+08;9.912617573687098E-01;-1.376086781539593E-01;
2.236700000000000E+08;9.898025027649662E-01;-1.390852572437031E-01;
2.251600000000000E+08;9.896076227778909E-01;-1.395967974121479E-01;
2.266500000000000E+08;9.906539862851481E-01;-1.400948374038913E-01;
2.281400000000000E+08;9.897696323836532E-01;-1.407728725093326E-01;
2.296300000000000E+08;9.900175175607364E-01;-1.417384314116870E-01;
2.311200000000000E+08;9.903469160770526E-01;-1.434659395238194E-01;
2.326100000000000E+08;9.890453614115509E-01;-1.434565797306653E-01;
2.341000000000000E+08;9.887093167479747E-01;-1.453530950600407E-01;
2.355900000000000E+08;9.886119301944938E-01;-1.449886946506038E-01;
2.370800000000000E+08;9.884077222423232E-01;-1.466283144589098E-01;
2.385700000000000E+08;9.889845319175087E-01;-1.479354712507257E-01;
2.400600000000000E+08;9.881986946398597E-01;-1.488717682906963E-01;
2.415500000000000E+08;9.884550839930979E-01;-1.492384375311470E-01;
2.430400000000000E+08;9.882612158560127E-01;-1.503880015470707E-01;
2.445300000000000E+08;9.887809921192354E-01;-1.502372463186598E-01;
2.460200000000000E+08;9.886335968736107E-01;-1.507662018062925E-01;
2.475100000000000E+08;9.885452374719056E-01;-1.521757584931434E-01;
2.490000000000000E+08;9.873451579972942E-01;-1.530352894662962E-01;
2.504900000000000E+08;9.882961021149838E-01;-1.544224439080738E-01;
2.519800000000000E+08;9.882418616208871E-01;-1.554200244586805E-01;
2.534700000000000E+08;9.866843147932426E-01;-1.561312820166486E-01;
2.549600000000000E+08;9.869144934856550E-01;-1.567465429121455E-01;
2.564500000000000E+08;9.871449359609398E-01;-1.576539170896885E-01;
2.579400000000000E+08;9.870854183825027E-01;-1.578194175551004E-01;
2.594300000000000E+08;9.876305905049656E-01;-1.597885774793791E-01;
2.609200000000000E+08;9.868994886550181E-01;-1.595544848523507E-01;
2.624100000000000E+08;9.864202049211978E-01;-1.616635805057077E-01;
2.639000000000000E+08;9.869487792740789E-01;-1.620389598322511E-01;
2.653900000000000E+08;9.875981758407577E-01;-1.632080458110719E-01;
2.668800000000000E+08;9.855336781989100E-01;-1.634846786104103E-01;
2.683700000000000E+08;9.864548058584366E-01;-1.642438463275447E-01;
2.698600000000000E+08;9.861887604739704E-01;-1.653512410721895E-01;
2.713500000000000E+08;9.861256440600888E-01;-1.670872750050825E-01;
2.728400000000000E+08;9.860570576219875E-01;-1.670792942562506E-01;
2.743300000000000E+08;9.855969924590858E-01;-1.677832334562505E-01;
2.758200000000000E+08;9.853654909718934E-01;-1.686389283914300E-01;
2.773100000000000E+08;9.863328049877235E-01;-1.699804894433150E-01;
2.788000000000000E+08;9.855481243259981E-01;-1.712037252729047E-01;
