# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
2.251600000000000E+08;9.905898455524454E-01;-1.393884395512473E-01;
2.266500000000000E+08;9.908980348008900E-01;-1.403145982769533E-01;
2.281400000000000E+08;9.896592363818959E-01;-1.410458007350266E-01;
2.296300000000000E+08;9.905806842421628E-01;-1.416129165645431E-01;
2.311200000000000E+08;9.903500228409255E-01;-1.437850081259268E-01;
2.326100000000000E+08;9.898252141510742E-01;-1.430485372363094E-01;
2.341000000000000E+08;9.892137820418621E-01;-1.450513563148308E-01;
2.355900000000000E+08;9.883994218555530E-01;-1.448099415142886E-01;
2.370800000000000E+08;9.887499979919032E-01;-1.471191279236696E-01;
2.385700000000000E+08;9.888114355690172E-01;-1.485869581395499E-01;
2.400600000000000E+08;9.880141787669833E-01;-1.486857168740185E-01;
2.415500000000000E+08;9.883154048366940E-01;-1.493272653769860E-01;
2.430400000000000E+08;9.885241031722027E-01;-1.506784058882393E-01;
2.445300000000000E+08;9.885399570198909E-01;-1.514470372598217E-01;
2.460200000000000E+08;9.887907211107859E-01;-1.519394924123540E-01;
2.475100000000000E+08;9.874639482551685E-01;-1.530575835901495E-01;
2.490000000000000E+08;9.858369157978117E-01;-1.527300952770241E-01;
2.504900000000000E+08;9.884524766733631E-01;-1.540058616187849E-01;
2.519800000000000E+08;9.885722892300305E-01;-1.545725212112620E-01;
2.534700000000000E+08;9.875903767046187E-01;-1.557694666508805E-01;
2.549600000000000E+08;9.872461486863742E-01;-1.574421289777732E-01;
2.564500000000000E+08;9.871761347608937E-01;-1.579255445335107E-01;
2.579400000000000E+08;9.870074737787128E-01;-1.582518494074068E-01;
2.594300000000000E+08;9.872932862945067E-01;-1.594371180814383E-01;
2.609200000000000E+08;9.870115492260443E-01;-1.600581474535935E-01;
2.624100000000000E+08;9.863290342866722E-01;-1.616359181057616E-01;
2.639000000000000E+08;9.872993347752069E-01;-1.623171578435245E-01;
2.653900000000000E+08;9.878137512277697E-01;-1.638795592682404E-01;
2.668800000000000E+08;9.857969550022669E-01;-1.636366177760842E-01;
2.683700000000000E+08;9.862524771025727E-01;-1.646236936683015E-01;
2.698600000000000E+08;9.860439146440143E-01;-1.650422343672575E-01;
2.713500000000000E+08;9.859597447833001E-01;-1.673843801319510E-01;
2.728400000000000E+08;9.863211722546583E-01;-1.676316433614726E-01;
2.743300000000000E+08;9.856115454468451E-01;-1.678521794823260E-01;
2.758200000000000E+08;9.847723011654954E-01;-1.684021873974415E-01;
2.773100000000000E+08;9.860516320337640E-01;-1.704256107217673E-01;
2.788000000000000E+08;9.854035336822903E-01;-1.717359358370746E-01;
2.802900000000000E+08;9.848926640741686E-01;-1.722610942877653E-01;
2.817800000000000E+08;9.851084015724221E-01;-1.734915755719910E-01;
2.832700000000000E+08;9.845107129957149E-01;-1.741685834275117E-01;
2.847600000000000E+08;9.846530473481000E-01;-1.746753720351713E-01;
2.862500000000000E+08;9.843584350192741E-01;-1.755760625896823E-01;
2.877400000000000E+08;9.838191097653400E-01;-1.769462128969912E-01;
2.892300000000000E+08;9.843319845488597E-01;-1.774789983375122E-01;
2.907200000000000E+08;9.842094895011119E-01;-1.790461981007311E-01;
2.922100000000000E+08;9.836246251130529E-01;-1.793992956073441E-01;
2.937000000000000E+08;9.832097398074483E-01;-1.796806412928204E-01;
2.951900000000000E+08;9.845594308232363E-01;-1.809784420812606E-01;
2.966800000000000E+08;9.831572883562005E-01;-1.821884813257430E-01;
2.981700000000000E+08;9.835248126976653E-01;-1.836872938239120E-01;
2.996600000000000E+08;9.832842393720030E-01;-1.850235726885942E-01;
3.011500000000000E+08;9.825203330588802E-01;-1.854190869274781E-01;
3.026400000000000E+08;9.826222931571339E-01;-1.864288040280899E-01;
3.041300000000000E+08;9.820920551135752E-01;-1.872210339019377E-01;
3.056200000000000E+08;9.829281814577828E-01;-1.879861223445097E-01;
3.071100000000000E+08;9.820159437976794E-01;-1.896080491564335E-01;
3.086000000000000E+08;9.811792020777369E-01;-1.902474368259405E-01;
3.100900000000000E+08;9.815289911776016E-01;-1.906450475032159E-01;
3.115800000000000E+08;9.817183749156059E-01;-1.914957563347717E-01;
3.130700000000000E+08;9.816266767674193E-01;-1.922193585770025E-01;
3.145600000000000E+08;9.804622131377817E-01;-1.937045007762438E-01;
3.160500000000000E+08;9.812958401664347E-01;-1.935172237316732E-01;
3.175400000000000E+08;9.814413202438854E-01;-1.951642696071315E-01;
3.190300000000000E+08;9.810204228734090E-01;-1.961673848597061E-01;
3.205200000000000E+08;9.812646416237680E-01;-1.970040363895680E-01;
3.220100000000000E+08;9.801733893732887E-01;-1.979114515263877E-01;
3.235000000000000E+08;9.802861979497948E-01;-1.987664268576165E-01;
3.249900000000000E+08;9.799496965463576E-01;-2.007106764076919E-01;
3.264800000000000E+08;9.796920800719734E-01;-2.010641080056305E-01;
3.279700000000000E+08;9.799768023224318E-01;-2.022056796046644E-01;
3.294600000000000E+08;9.800619277308223E-01;-2.026160124019899E-01;
3.309500000000000E+08;9.785250451026795E-01;-2.047597760212332E-01;
3.324400000000000E+08;9.789427290719958E-01;-2.045981484928605E-01;
3.339300000000000E+08;9.787446478631217E-01;-2.069518752921351E-01;
3.354200000000000E+08;9.785436525735924E-01;-2.071494029487361E-01;
3.369100000000000E+08;9.776532898729596E-01;-2.085671102852741E-01;
3.384000000000000E+08;9.785990676272310E-01;-2.079997716429065E-01;
3.398900000000000E+08;9.780630600146686E-01;-2.094594419996626E-01;
3.413800000000000E+08;9.784171696292610E-01;-2.110825595739585E-01;
3.428700000000000E+08;9.767604762959223E-01;-2.122954688885205E-01;
3.443600000000000E+08;9.771814673632674E-01;-2.128511283597465E-01;
3.458500000000000E+08;9.774632997779207E-01;-2.134833465944418E-01;
3.473400000000000E+08;9.765457141745520E-01;-2.149718850394232E-01;
3.488300000000000E+08;9.768115369892603E-01;-2.153628928132247E-01;
3.503200000000000E+08;9.765973476517987E-01;-2.154661890691960E-01;
3.518100000000000E+08;9.754384206012707E-01;-2.178479119532027E-01;
3.533000000000000E+08;9.760317193927925E-01;-2.180105335287934E-01;
3.547900000000000E+08;9.767131736155676E-01;-2.195905318561972E-01;
3.562800000000000E+08;9.753591583191465E-01;-2.198895771047824E-01;
3.577700000000000E+08;9.756060161126879E-01;-2.211709983431832E-01;
3.592600000000000E+08;9.756545524943488E-01;-2.217715579631299E-01;
3.607500000000000E+08;9.753202716821086E-01;-2.230881198875496E-01;
3.622400000000000E+08;9.743910100740778E-01;-2.233226702715838E-01;
3.637300000000000E+08;9.746216867299353E-01;-2.246232610155020E-01;
3.652200000000000E+08;9.740857451777458E-01;-2.253400874022105E-01;
3.667100000000000E+08;9.745290335392518E-01;-2.267250626610350E-01;
3.682000000000000E+08;9.750526709806788E-01;-2.270353134520677E-01;
3.696900000000000E+08;9.741032278656997E-01;-2.271969783002689E-01;
3.711800000000000E+08;9.735542855014895E-01;-2.291790189449712E-01;
3.726700000000000E+08;9.735452557478698E-01;-2.301739370395835E-01;
3.741600000000000E+08;9.733904599204550E-01;-2.303839075589046E-01;
3.756500000000000E+08;9.727316242731243E-01;-2.318590109355023E-01;
3.771400000000000E+08;9.727729479450666E-01;-2.323869825401669E-01;
3.786300000000000E+08;9.716022643472062E-01;-2.330039973530204E-01;
3.801200000000000E+08;9.709562423534536E-01;-2.328207749299868E-01;
3.816100000000000E+08;9.726648365997291E-01;-2.338759517662884E-01;
3.831000000000000E+08;9.720762320278056E-01;-2.354310801652523E-01;
3.845900000000000E+08;9.727825635604183E-01;-2.359529416285018E-01;
3.860800000000000E+08;9.723880599422492E-01;-2.385047954081454E-01;
3.875700000000000E+08;9.713938313993254E-01;-2.382662424086246E-01;
3.890600000000000E+08;9.709543179826472E-01;-2.390911593002136E-01;
3.905500000000000E+08;9.711823632582932E-01;-2.402964231465733E-01;
3.920400000000000E+08;9.709366752397726E-01;-2.410894553085844E-01;
3.935300000000000E+08;9.710985868088936E-01;-2.412716261293990E-01;
3.950200000000000E+08;9.710053130746994E-01;-2.428447365753502E-01;
3.965100000000000E+08;9.702468141961482E-01;-2.434218878274440E-01;
3.980000000000000E+08;9.707164366822041E-01;-2.441619831382624E-01;
3.994900000000000E+08;9.691234690999903E-01;-2.453311817103292E-01;
4.009800000000000E+08;9.698662847694655E-01;-2.458520243462090E-01;
4.024700000000000E+08;9.697779497387149E-01;-2.467557311028088E-01;
4.039600000000000E+08;9.688432548633946E-01;-2.478958794383415E-01;
4.054500000000000E+08;9.688803034034120E-01;-2.486333815336479E-01;
4.069400000000000E+08;9.688197910716414E-01;-2.499771701675307E-01;
4.084300000000000E+08;9.679530598135621E-01;-2.499701067710082E-01;
4.099200000000000E+08;9.680120019792240E-01;-2.512671211489829E-01;
4.114100000000000E+08;9.676593738239946E-01;-2.522278808132116E-01;
4.129000000000000E+08;9.676940054494979E-01;-2.537003857514227E-01;
4.143900000000000E+08;9.672104766919547E-01;-2.539002431469892E-01;
4.158800000000000E+08;9.674289762782017E-01;-2.555638806562641E-01;
4.173700000000000E+08;9.671221199373943E-01;-2.563689300977865E-01;
4.188600000000000E+08;9.669387217502647E-01;-2.577605406008148E-01;
4.203500000000000E+08;9.664782998650858E-01;-2.581617606338130E-01;
4.218400000000000E+08;9.659691400996713E-01;-2.587740578341867E-01;
4.233300000000000E+08;9.660726084033600E-01;-2.605842521358326E-01;
4.248200000000000E+08;9.656233772143304E-01;-2.601204023731752E-01;
4.263100000000000E+08;9.649515242987274E-01;-2.613997794692796E-01;
4.278000000000000E+08;9.652901741025463E-01;-2.626612807948531E-01;
4.292900000000000E+08;9.653241432076500E-01;-2.627957609475328E-01;
4.307800000000000E+08;9.653860218778806E-01;-2.644140040983537E-01;
4.322700000000000E+08;9.649033585171328E-01;-2.649258914181822E-01;
4.337600000000000E+08;9.641493478854274E-01;-2.652833225894888E-01;
4.352500000000000E+08;9.639947494359247E-01;-2.661913735044693E-01;
4.367400000000000E+08;9.634365315924598E-01;-2.674861985485778E-01;
4.382300000000000E+08;9.634309248500252E-01;-2.687472702580143E-01;
4.397200000000000E+08;9.632829873737302E-01;-2.684790805199120E-01;
4.412100000000000E+08;9.625687561067611E-01;-2.695833170207627E-01;
4.427000000000000E+08;9.629991860498964E-01;-2.706982187313898E-01;
4.441900000000000E+08;9.627607450432786E-01;-2.718165339334955E-01;
4.456800000000000E+08;9.624639765579625E-01;-2.725046578450633E-01;
4.471700000000000E+08;9.616589820591454E-01;-2.744432791795008E-01;
4.486600000000000E+08;9.611912045696943E-01;-2.754718883604567E-01;
4.501500000000000E+08;9.611339966773444E-01;-2.760871159168081E-01;
4.516400000000000E+08;9.604277761715312E-01;-2.777224979157107E-01;
4.531300000000000E+08;9.598816817538373E-01;-2.773646891534235E-01;
4.546200000000000E+08;9.608246680715565E-01;-2.785956420207175E-01;
4.561100000000000E+08;9.599362313689673E-01;-2.790074660896135E-01;
4.576000000000000E+08;9.601661614649660E-01;-2.801004828478607E-01;
4.590900000000000E+08;9.598588973810601E-01;-2.821673277223311E-01;
4.605800000000000E+08;9.591557869292205E-01;-2.826398107214347E-01;
4.620700000000000E+08;9.601118192178665E-01;-2.836303235714030E-01;
4.635600000000000E+08;9.590129090349279E-01;-2.842391447836338E-01;
4.650500000000000E+08;9.588086321713899E-01;-2.859455636564869E-01;
4.665400000000000E+08;9.581849097919735E-01;-2.859886715570415E-01;
4.680300000000000E+08;9.580105921136878E-01;-2.872824665550935E-01;
4.695200000000000E+08;9.581833703186016E-01;-2.888769769404661E-01;
4.710100000000000E+08;9.578857459592530E-01;-2.888921087517828E-01;
4.725000000000000E+08;9.572885601355821E-01;-2.905036871015066E-01;
4.739900000000000E+08;9.568310707029007E-01;-2.914273123609540E-01;
4.754800000000000E+08;9.569713059555492E-01;-2.923924393837121E-01;
4.769700000000000E+08;9.564822808171872E-01;-2.934236229331332E-01;
4.784600000000000E+08;9.556890903300268E-01;-2.941127611205978E-01;
4.799500000000000E+08;9.557023328050214E-01;-2.953423966808192E-01;
4.814400000000000E+08;9.555911142777743E-01;-2.959344308109700E-01;
4.829300000000000E+08;9.551926146818651E-01;-2.976272265973640E-01;
4.844200000000000E+08;9.545554308017669E-01;-2.977478667351580E-01;
4.859100000000000E+08;9.549044767400202E-01;-2.991280308327517E-01;
4.874000000000000E+08;9.539748484099910E-01;-2.996366782101160E-01;
4.888900000000000E+08;9.540022580713572E-01;-3.008872352175475E-01;
4.903800000000000E+08;9.538243630035563E-01;-3.012642611449286E-01;
4.918700000000000E+08;9.528729300782784E-01;-3.027106909152884E-01;
4.933600000000000E+08;9.530549394005787E-01;-3.036278521531938E-01;
4.948500000000000E+08;9.535609880416102E-01;-3.040582131271293E-01;
4.963400000000000E+08;9.529778325126728E-01;-3.047296944448323E-01;
4.978300000000000E+08;9.530790694438187E-01;-3.058450186428037E-01;
4.993200000000000E+08;9.517538312019689E-01;-3.064649949359795E-01;
5.008100000000000E+08;9.524294810794074E-01;-3.079522831569277E-01;
5.023000000000000E+08;9.520749349730807E-01;-3.081470956291482E-01;
5.037900000000000E+08;9.511163515514632E-01;-3.092207117316615E-01;
5.052800000000000E+08;9.510075269330671E-01;-3.088373369244028E-01;
5.067700000000000E+08;9.517267144711133E-01;-3.095730119342525E-01;
5.082600000000000E+08;9.505276802658124E-01;-3.112172750915550E-01;
5.097500000000000E+08;9.505926865225930E-01;-3.118266777117393E-01;
5.112400000000000E+08;9.497501106567972E-01;-3.128060175931205E-01;
5.127300000000000E+08;9.496675463695623E-01;-3.138210542018062E-01;
5.142200000000000E+08;9.494048939948947E-01;-3.151563176908351E-01;
5.157100000000000E+08;9.494695952780011E-01;-3.157293553651282E-01;
5.172000000000000E+08;9.492196080112739E-01;-3.166399092808649E-01;
5.186900000000000E+08;9.485008570443424E-01;-3.173308393290388E-01;
5.201800000000000E+08;9.483006581418638E-01;-3.189359753077806E-01;
5.216700000000000E+08;9.475526785334029E-01;-3.196910027264481E-01;
5.231600000000000E+08;9.477650537031997E-01;-3.197729737369035E-01;
5.246500000000000E+08;9.480642047379372E-01;-3.210362566138621E-01;
5.261400000000000E+08;9.472571331324926E-01;-3.218252700647105E-01;
5.276300000000000E+08;9.471980801827603E-01;-3.229159116122012E-01;
5.291200000000000E+08;9.464384488047248E-01;-3.237268018658482E-01;
5.306100000000000E+08;9.460522286119488E-01;-3.237655463173620E-01;
5.321000000000000E+08;9.457299295893032E-01;-3.253372962931001E-01;
5.335900000000000E+08;9.457879651218040E-01;-3.267250669269571E-01;
5.350800000000000E+08;9.453535536988801E-01;-3.269933812191724E-01;
5.365700000000000E+08;9.450660020271430E-01;-3.276637123580211E-01;
5.380600000000000E+08;9.443581753614184E-01;-3.280676102096551E-01;
5.395500000000000E+08;9.451887401459720E-01;-3.292283466071894E-01;
5.410400000000000E+08;9.443658103274480E-01;-3.304942625920534E-01;
5.425300000000000E+08;9.441940405251186E-01;-3.315354695030249E-01;
5.440200000000000E+08;9.443581817780833E-01;-3.316661875814105E-01;
5.455100000000000E+08;9.437552678464159E-01;-3.319228794951555E-01;
5.470000000000000E+08;9.428712801068199E-01;-3.334240931256452E-01;
5.484900000000000E+08;9.430355523347627E-01;-3.338178238671805E-01;
5.499800000000000E+08;9.425616505454812E-01;-3.352206590432598E-01;
5.514700000000000E+08;9.420873906635110E-01;-3.360353667165295E-01;
5.529600000000000E+08;9.421348030399951E-01;-3.368458335840376E-01;
5.544500000000000E+08;9.419794248628632E-01;-3.377600601329171E-01;
5.559400000000000E+08;9.407958761953921E-01;-3.385190363297792E-01;
5.574300000000000E+08;9.408811023967267E-01;-3.396025725485450E-01;
5.589200000000000E+08;9.408393360911680E-01;-3.403643407497391E-01;
5.604100000000000E+08;9.409403621417105E-01;-3.414645067940870E-01;
5.619000000000000E+08;9.405218609473374E-01;-3.417675254202161E-01;
5.633900000000000E+08;9.398206724008977E-01;-3.435834250339144E-01;
5.648800000000000E+08;9.393158747377834E-01;-3.436386698925419E-01;
5.663700000000000E+08;9.385407029324200E-01;-3.451702282284460E-01;
5.678600000000000E+08;9.390920634166897E-01;-3.460802079569358E-01;
5.693500000000000E+08;9.382158818234958E-01;-3.472646384386675E-01;
5.708400000000000E+08;9.376132754589399E-01;-3.481584374366813E-01;
5.723300000000000E+08;9.375084358433629E-01;-3.490492214520269E-01;
5.738200000000000E+08;9.371084605357400E-01;-3.498903327519793E-01;
5.753100000000000E+08;9.363874539366289E-01;-3.515847308587244E-01;
5.768000000000000E+08;9.361347629211845E-01;-3.521973997668679E-01;
5.782900000000000E+08;9.358950825410434E-01;-3.530975170558999E-01;
5.797800000000000E+08;9.355402863759097E-01;-3.540172580649029E-01;
5.812700000000000E+08;9.349748125325986E-01;-3.548555270581033E-01;
5.827600000000000E+08;9.347492291730741E-01;-3.563591099849068E-01;
5.842500000000000E+08;9.342257347830170E-01;-3.572467611067166E-01;
5.857400000000000E+08;9.340416440914756E-01;-3.578788033240894E-01;
5.872300000000000E+08;9.334049250616989E-01;-3.592358081800205E-01;
5.887200000000000E+08;9.332249385460154E-01;-3.603291020479425E-01;
5.902100000000000E+08;9.327772294968319E-01;-3.611508878535246E-01;
5.917000000000000E+08;9.322906825135474E-01;-3.618590934377995E-01;
5.931900000000000E+08;9.318060201349276E-01;-3.630519965650227E-01;
5.946800000000000E+08;9.317598431692775E-01;-3.641133673041440E-01;
5.961700000000000E+08;9.315876753094846E-01;-3.647527356770103E-01;
5.976600000000000E+08;9.308273925166353E-01;-3.657783267569058E-01;
5.991500000000000E+08;9.305123160713790E-01;-3.665009699204765E-01;
6.006400000000000E+08;9.303577637269431E-01;-3.673381774472981E-01;
6.021300000000000E+08;9.299372981412206E-01;-3.686765580624557E-01;
6.036200000000000E+08;9.297304333036349E-01;-3.694630834722722E-01;
6.051100000000000E+08;9.291500113211667E-01;-3.703576723217096E-01;
6.066000000000000E+08;9.288706332519661E-01;-3.705518857036153E-01;
6.080900000000000E+08;9.281187840052967E-01;-3.717088331655067E-01;
6.095800000000000E+08;9.282153095241059E-01;-3.731099701298610E-01;
6.110700000000000E+08;9.281862407054727E-01;-3.743792705616775E-01;
6.125600000000000E+08;9.270901771316460E-01;-3.753096387979054E-01;
6.140500000000000E+08;9.265283716726214E-01;-3.754261020319652E-01;
6.155400000000000E+08;9.265692045696914E-01;-3.762386056215814E-01;
6.170300000000000E+08;9.255056712130826E-01;-3.772661206297029E-01;
6.185200000000000E+08;9.259479343454590E-01;-3.779903768959856E-01;
6.200100000000000E+08;9.255101675263885E-01;-3.793213255189942E-01;
6.215000000000000E+08;9.252323428776854E-01;-3.802371194842635E-01;
6.229900000000000E+08;9.246522180502709E-01;-3.810206976714992E-01;
6.244800000000000E+08;9.244576627921781E-01;-3.819142504363542E-01;
6.259700000000000E+08;9.240825306450388E-01;-3.826973508616542E-01;
6.274600000000000E+08;9.236864403439707E-01;-3.836503821649080E-01;
6.289500000000000E+08;9.229658682615588E-01;-3.844150599616901E-01;
6.304400000000000E+08;9.233487785832829E-01;-3.853499639456012E-01;
6.319300000000000E+08;9.225761765554793E-01;-3.867873416069295E-01;
6.334200000000000E+08;9.224266110253075E-01;-3.875949579964084E-01;
6.349100000000000E+08;9.220220069877277E-01;-3.882411280280736E-01;
6.364000000000000E+08;9.219085708426432E-01;-3.889619531002869E-01;
6.378900000000000E+08;9.211593771543249E-01;-3.900756878490794E-01;
6.393800000000000E+08;9.210078619331656E-01;-3.906055413757412E-01;
6.408700000000000E+08;9.204696559038296E-01;-3.917564933014026E-01;
6.423600000000000E+08;9.199178925927233E-01;-3.926206143576749E-01;
6.438500000000000E+08;9.199623246839156E-01;-3.936900332106306E-01;
6.453400000000000E+08;9.197288907171036E-01;-3.944948096001566E-01;
6.468300000000000E+08;9.189316244571002E-01;-3.953245202183705E-01;
6.483200000000000E+08;9.181253841616729E-01;-3.960556613593749E-01;
6.498100000000000E+08;9.181542809117256E-01;-3.972444128459405E-01;
6.513000000000000E+08;9.177275793121784E-01;-3.978462594641919E-01;
6.527900000000000E+08;9.173152379811854E-01;-3.983090692633977E-01;
6.542800000000000E+08;9.172352366279048E-01;-3.992751676942344E-01;
6.557700000000000E+08;9.168272819011797E-01;-4.008721311362223E-01;
6.572600000000000E+08;9.169971357210249E-01;-4.011671969158852E-01;
6.587500000000000E+08;9.166126580500815E-01;-4.020180468264892E-01;
6.602400000000000E+08;9.156616426933555E-01;-4.031926707826136E-01;
6.617300000000000E+08;9.150114353980692E-01;-4.035162552248285E-01;
6.632200000000000E+08;9.151968520631201E-01;-4.047979541191629E-01;
6.647100000000000E+08;9.148217744198577E-01;-4.057052134218158E-01;
6.662000000000000E+08;9.143799301905003E-01;-4.062730900548264E-01;
6.676900000000000E+08;9.138342999964967E-01;-4.069604775074647E-01;
6.691800000000000E+08;9.135751222663281E-01;-4.074561702469190E-01;
6.706700000000000E+08;9.130587214389612E-01;-4.085016785766913E-01;
6.721600000000000E+08;9.124499688491494E-01;-4.098945896436961E-01;
6.736500000000000E+08;9.121768319532659E-01;-4.105661274261008E-01;
6.751400000000000E+08;9.118740009252679E-01;-4.110885297729954E-01;
6.766300000000000E+08;9.112825202866089E-01;-4.120020431367903E-01;
6.781200000000000E+08;9.113334571579745E-01;-4.132525863420534E-01;
6.796100000000000E+08;9.104197767999818E-01;-4.140459789152434E-01;
6.811000000000000E+08;9.096462134722920E-01;-4.150818929040671E-01;
6.825900000000000E+08;9.093775028569745E-01;-4.151841518031651E-01;
6.840800000000000E+08;9.087198334927422E-01;-4.163714345402010E-01;
6.855700000000000E+08;9.076196016186071E-01;-4.166564053523980E-01;
6.870600000000000E+08;9.074611302302817E-01;-4.175202947499068E-01;
6.885500000000000E+08;9.074865508101289E-01;-4.186591382426862E-01;
6.900400000000000E+08;9.068166355840670E-01;-4.192651604833046E-01;
